,model_id,filepath,decoded,expert_coherence_score,turker_coherence_score,expert_relevance_score,turker_relevance_score,expert_consistency_score,turker_consistency_score,expert_fluency_score,turker_fluency_score,reference
1400,M8,cnndm/cnn/stories/88c2481234e763c9bbc68d0ab1be1d2375c1349a.story,"lady antebellum is set to perform at the 50th academy of country music awards . hillary scott , co-lead singer for the band , posted a photo of the charred bus on instagram and noted that she , her husband , the tour manager and the driver were all evacuated .",3.0,3.4,3.0,4.0,5.0,3.0,4.666666666666667,3.2,"Country band Lady Antebellums bus caught fire Thursday on a Texas freeway. A CNN iReporter captured the dramatic scene on video. Singer Hillary Scott shared a pic of the charred bus on Instagram.,Michael Barnett captured startling video of Lady Antebellum singer Hillary Scotts tour bus catching fire on a Texas freeway. No one on board was injured.,Country music band Lady Antebellums tour bus went up in flames on Thursday morning on a freeway northeast of Dallas. Luckily, everyone on the bus, including lead singer Hillary Scott, had evacuated the bus before it caught fire."
1401,M8,cnndm/cnn/stories/404f859482d47c127868964a9a39d1a7645dd2e9.story,"rochelle `` shelly '' sterling accused stiviano of targeting extremely wealthy older men . she claimed donald sterling used the couple 's money to buy stiviano a ferrari , two bentleys and a range rover . stiviano 's gifts from donald sterling did n't just include uber-expensive items like luxury cars .",3.3333333333333335,3.4,2.3333333333333335,3.8,5.0,3.6,5.0,3.2,"V. Stiviano must pay back $2.6 million in gifts from Donald Sterling. Sterlings wife claimed the ex-Clippers used the couples money for the gifts. The items included a Ferrari, two Bentleys and a Range Rover.,A player for a team has been under scrunity for money being earned while injured. The NBA is not pleased with these outcomes and this player has caused lots of controversy.,Donald Sterling lost his NBA team amid racist comments. His former companion is set to pay back over $2.6 million to Sterlings wife through lawsuit. The case has been considered a victory for the Sterling family."
1402,M8,cnndm/dailymail/stories/fadabe346fe95d33eee71299e6596754768f5246.story,"gemma , named only as gemma , has two children under five by two different fathers . handed both infants over to her 52-year-old mother debbie when they were four months old . debbie is threatening to ban gemma from seeing the children at all .",4.0,4.0,3.6666666666666665,5.0,5.0,5.0,4.0,4.0,"Gemma, 23, has left her children to be raised by her mother. Handed them to her 52-year-old parent when they were four months old. Spends her time partying and has missed out on seeing them grow up. Is now at risk of being banned from seeing them thanks to feckless ways. Mother Debbie also says the unemployed 23-year-old has stolen from them.,Gemma gave her mother Debbie her two children, which both have different fathers, to take care of. Debbie doesnt trust Gemma to come in her home without stealing something, so she is considering banning her so she cant visit her children.,23-year-old mother Gemma may be forbidden to see her children by her mother Debbie, who cares for the children. Debbie says this is because of Gemmas stealing and selling property belonging to the children, and prioritizing drinking, drugs and partying over the children."
1403,M8,cnndm/cnn/stories/e49792c337d3f4c13e22f710efa44cf6a4e59aba.story,"dzhokhar tsarnaev was found guilty on all 30 charges he faced related to the bombings at the 2013 race and the dramatic violence that dragged out for days afterward . the sentencing phase begins tuesday , a day after this year 's edition of the landmark race .",2.6666666666666665,3.4,2.6666666666666665,4.0,5.0,4.4,5.0,4.0,"Parents of Martin Richard argue against death penalty for Dzhokhar Tsarnaev. The 8-year-old boy was youngest of victims in the Boston Marathon bombings. Sentencing phase for Tsarnaev begins next week.,Dzhokhar Tsaranaev was convicted and found guilty of everything that he was accused of having to do with the bombs at the race. He will be sentenced later this week . The family whos child was killed in the attack speaks out to say that they are ready for this to be over. They do not want the death penalty as a punishment for the killer.,A child has passed away and the parents are looking to obtain justice during the trial for their sons murder and injuries from their daughter."
1404,M8,cnndm/dailymail/stories/998cb27197db1fd299aff3322ac041ba4bf1148f.story,"saturday 's visit of fleetwood town , who were eyeing the beach after their play-off hopes had all but evaporated , hardly promised to be a thriller . doncaster 's media team faced a tough challenge compling the match highlights of 0-0 draw . doncaster 's league one encounter against fleetwood tested the patience of the most ardent fan .",2.3333333333333335,4.2,3.6666666666666665,4.4,5.0,4.0,5.0,3.8,"Doncaster posted highlights video on the clubs YouTube channel. The Yorkshire side drew 0-0 with Fleetwood in League One encounter.,A football team has launched a campaign in hopes to raise money and obtain sponsors. Managers within the touchline are providing highlights of the previous season.,The English football side, Doncaster Rovers have had a poor season leaving them mid-table without a chance at making the playoffs. Their recent game against Fleetwood at home resulted in a tame 0-0 draw, the media team ran with this made a short 27 second highlight clip for the game emphasizing the poor quality of the match and the season."
1405,M8,cnndm/dailymail/stories/2cf8c2d1d2ceb1980249f77e703f9039e63799d0.story,japanese photographer yûki aoyama 's latest series of images capture po-faced teenagers pictured next to their fathers . the images are from the 37-year-old 's latest book which roughly translates as daughter and salaryman . each image sees the daughter stood po-faced as their father makes an energetic leap .,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,"A series of photos sees Japanese dads jumping next to their daughters. They are part of a new book by Japanese photographer Yûki Aoyama. The books title roughly translates as Daughter and Salary Man.,A Japanese photographer has assembled a lighthearted series of portraits of Japanese fathers with their daughters in which they are captured in strikingly different poses.  The photographs depict sharply dressed fathers leaping into the air while their youngsters display far more subdued faces; a stark contrast to their typical personas in society.,Yûki Aoyama has a series with teens next to their jumping fathers. Roughly, ""Daughter and Salary Man"" are the name of the series and are featured in the photographs book. Many of the unique photos are near important Japanese landmarks."
1406,M8,cnndm/dailymail/stories/2feca9acf532e33f1ab7442c442c8e19787d8d7b.story,roland giroux gently cups the fish with his hand from within side the tank and then treats it to a massage . the fish begins relaxing in the man 's hand and stays very still as the owner begins to stroke it with his finger .,3.6666666666666665,4.0,3.3333333333333335,4.0,5.0,4.0,5.0,4.0,"Roland Giroux captured his relationship with his fish on camera. The blood parrot cichlid swims in circles and waits in mans hand. The man then begins massaging and stroking its body with his finger. Mr Giroux claims the fish becomes frustrated if not stroked each day.,A man suggests that cats and dogs have an inherent advantage over aquarium pets in regards to touching and petting them. A man has a fish that he likes to pet with his fingers, but the fish isnt always up for the task when it comes for it, but the fish sometimes does. The man gets to play with his fish for a few minutes per day.,Roland Giroux has a very unusual connection to his pet fish, in that the fish apparently enjoys being pet and massaged by its owner.  The fish clearly enjoys being massaged by its owners fingers and even seems to follow the owners hand when Roland withdraws it from the fishs tank.  Roland uploads many videos to Youtube of this unusual dynamic for all to see."
1407,M8,cnndm/dailymail/stories/e880fda4c25289f8325574246f0f8ed4ff5eb26b.story,"the collector’s paradise in horfield , bristol , has gone untouched for more than 80 years , comes complete with the original bathroom and kitchen , kitchen , stained-glass windows and even the vintage cupboards . it 's a nondescript semi-detached home from the outside but inside it 's a treasure trove with features including beautiful stained glass windows .",4.0,3.6,3.6666666666666665,4.0,5.0,4.2,5.0,4.0,"Nondescript semi-detached home for sale in Horfield, Bristol, is an unlikely collectors paradise. House has gone untouched for more than 80 years and comes complete with stain-glass windows. The timewarp home also boasts oil-fired central heating and comes with original bathroom and kitchen.,A home which has been untouched by time for 80 years is now heading on to the marketplace. The home is all original from the 1930s and is expected to fetch around a quarter of a million dollars.,A home is for sale in Horfield, Bristol. It has many unique features that would interest vintage home enthusiasts and is mostly original."
1408,M8,cnndm/dailymail/stories/e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e.story,"stephen munden , 54 , described as having a ' fanatical obsession ' with small girls . he is described as about 5ft 8ins tall , of a heavy build , and has dark hair .",2.6666666666666665,3.4,2.3333333333333335,3.6,5.0,3.6,4.666666666666667,3.6,"Stephen Munden, 54, has absconded from hospital, near Hook, Hampshire. He was described as having a fanatical obsession with small girls. Munden was convicted of sexually touching a child under the age of 13. The sex offender may have shaved off his thick beard, police say.,A pedophile is now on the run after escaping a psychiatric unit. Stephen Munden is urgently sought after for several sexual offences.,A convicted child molester is on the lamb after escaping from a psychiatric unit. The man in question, Stephen Munden is believed to have shaved off his beard to avoid being spotted by authorities."
1409,M8,cnndm/dailymail/stories/8b51a10370a1219137e231192e65b9cd52238ea6.story,ben stokes has forged a reputation as a fiery character in the england cricket team . stokes broke his wrist punching a locker after being dismissed last year . but stokes responded positively to the row after talking to england coach peter moores .,4.333333333333333,3.0,4.333333333333333,3.0,5.0,4.0,5.0,5.0,"Ben Stokes returns to the ground where he broke his wrist hitting a locker. He clashed with West Indies batsman Marlon Samuel in the second Test. But his aggression, when controlled, is important to England.,An England team is being monitored after a couch was seen fighting with his players. The strokes are debating whether or not to let one player go but will wait until summer.,Ben Stokes and his problems with his anger. His ups and his downs as a player and how it affects his aggression."
