,model_id,filepath,decoded,expert_coherence_score,turker_coherence_score,expert_relevance_score,turker_relevance_score,expert_consistency_score,turker_consistency_score,expert_fluency_score,turker_fluency_score,reference
300,M11,cnndm/dailymail/stories/8847383b72167c3f3dd2161b5b091b580c8f4da7.story,"the extra stretch of coastline on shiretoko peninsula near the town of rausu has risen as high as 50ft from the sea surface in some places . it is believed to be related to a landslide nearby , which has risen to 50ft above sea level , measures roughly 1,000 - 1,640 ft long , and epicentre wide . the mass mass is expected to be a landslide in hokkaido island . the area of rausu is on hokkaido island , japan 's hokkaido regional development bureau .",2.6666666666666665,1.0,4.333333333333333,2.0,5.0,3.0,2.6666666666666665,2.0,"A 1,000ft stretch of land rose up above sea level on Japanese island. The 100ft wide mass on Hokkaido is now some 30 to 50ft above sea level. It is believed to have been forced to the surface by a landslide nearby.,In Japan, Hokkaido Island, 1,000ft of seabed was forced to the surface. The ocean floor has been exposed in some places. A landslide is reported to be the cause.,A location within Japan has shown to be destroyed after a landslide. No one within the area even knew a landslide happened but isnt believed to be from an earthquake."
301,M11,cnndm/dailymail/stories/051db270afc32571a08c15124330efe89d80fea8.story,"fbi agent 's sniper rifle was ripped out of his car 's window and stolen from a salt lake city hotel parking lot just days before president obama visited utah earlier this month . the gun was inside a hard rifle case and was ` secured ' to a truck safe with padlocks and chains while the car was parked at the marriott springhill suites . the agent 's bag , backpack , and some clothing and tools were also stolen during the march 27 theft . the man stole the rifle and a cable lock , and using the .",3.3333333333333335,3.8,4.0,4.2,4.666666666666667,3.8,2.6666666666666665,3.4,"Rifle was stolen overnight while agents car was parked at a Salt Lake City hotel across the street from the states FBI office. Gun was secured properly in a case and truck safe with padlocks and chains. Police believe thief tied a rope around the case and used another car to break the handle off by ripping the case through the cars window. Agents stolen backpack and gear bags were recovered at a nearby hotel, but the gun has not been found.,A thief stole a FBI agents rifle right out of the agents car window days before President Obama made a visit to Utah.,A rifle was stolen from an FBI agents vehicle in Salt Lake City, Utah shortly before the arrival of President Obama to Utah. The rifle was taken from the agents locked and parked car, outside a Marriott Springhill Suites. The thief removed the entire passenger side window from the car in order to get to the rifle."
302,M11,cnndm/dailymail/stories/6721edf88c95f480a4db2c63649dbb03736aeadf.story,"ian guffick asked pupils to make changes to the national curriculum tests for 11-year-olds . he let pupils change exam results at sats exam results . he also altered a number of pupil exam exam results for the entire school 's sats results . school officials were tipped off , resulting in an investigation launched in june .",4.0,3.0,4.333333333333333,4.0,5.0,4.0,5.0,3.0,"Ian Guffick, 31, allowed pupils to make changes outside exam conditions. He also made changes to the pupils work before the papers were sent off. Probe was launched after officials were tipped off he breached exam rules. A disciplinary panel has now banned Guffick from teaching for two years.,One teacher got banned for letting his classroom children cheat on an exam, this caused a huge ordeal at the school. The teacher was banned from the school for 2 years and cant come back. The teachers actions impacted the school on a multitude of ways.,Teacher, Ian Guffick, asked students to change exam answers and is being banned from his classroom."
303,M11,cnndm/dailymail/stories/b5bc2ae78441e4ac08fb01823d5fc0f1627c3166.story,paul downton host paul downton as england 's managing director . kevin pietersen joked with reporters at the kia oval for the photo . he posed for the surrey team photo shoot for surrey at the new campaign . pietersen joked that he joked with photographers at the end of the season . he is the to return to the international set-up after being axed by former director director in 2014 .,1.6666666666666667,4.0,2.3333333333333335,4.0,1.6666666666666667,4.0,1.6666666666666667,3.0,"Kevin Pietersen lined up with Surrey team-mates for team photo. Batsman was in a jovial mood as he joked with photographers at KIA Oval. Pietersen could be in line for a return to England Test team this summer. Paul Downton dismissal as managing director has opened door.,Kevin Pietersen looks as if he is in deep thought when posing during a photo shoot with his team.,Paul Downton was dismissed as Englands managing director. Kevin Pietersen awaits team photos and ponders his teams accomplishments. He looks towards the upcoming matches and against Surrey."
304,M11,cnndm/dailymail/stories/4f3b35b540ba05f0f82d71a694ec23dde4dc3e01.story,"the driver of the car , who has not been identified , said he got into an argument with the suspects while he was pumping gas at a 76 station in south los angeles . the group covered his white dodge charger in gasoline and lit it ablaze while there were two passengers inside . the car 's entire front end was torched , according to reports . the driver was not injured during the incident , but the car was completely ruined .",3.6666666666666665,5.0,4.0,5.0,5.0,4.0,5.0,5.0,"Gang of at least three poured gasoline on a car at South LA gas station. Before the fire was started, the gang attempted to rob the driver of his car. Two people were inside white Dodge Charger when it went up in flames. No one was hurt and LA Fire Department is investigating crime as arson.,After an argument at a 76 gas station occurred, a group of three people poured gas on another car which had stopped to fill up their tank. The driver of the car that was lit on fire said the argument took place while he was pumping his gas. At the time the car was lit on fire, there were two passengers inside.,The Los Angeles County Fire Department is investigating an incident that occurred on Saturday at a 76 Station in South Los Angeles.  A gang of three people attempted to carjack a vehicle as the driver was pumping gas and two passengers remained in the car.  An argument ensued and the gang covered the vehicle and lit it on fire.  No one was hurt but the vehicle was ruined.  The suspects remain at large."
305,M11,cnndm/dailymail/stories/0cd10ad50ceef529d96a255ed12ac9cd001ba9db.story,"maurice van ryn has pleaded guilty to 12 sex offences , including the most serious charge of persistent sexual abuse of a child . one of his victims said she is scared for her future relationships , and did n't understand why she had been targeted . the bega cheese boss said she was forced to break her silence . she was subjected to years of abuse by the bega boss . the wealthy nsw businessman has pleaded sentenced to 12 years in jail . she kept the van ryn did to her secret , but when she found out .",2.0,3.6,3.6666666666666665,4.0,4.0,3.6,4.0,3.2,"A victim of Bega Cheese boss Maurice Van Ryan read her impact statement. She told Sydney District Court on Monday she felt scared and ashamed. I didnt know it was against the law, the victim said.,A working man was accused of sexually assualting several people including children. His significant other is devastated over this news and the oldest daughter has become suicidal.,Bega Cheese Boss Maurice Van Ryn has pleased guilty to 12 sex offences. He is accused of persistent abuse of a child."
306,M11,cnndm/dailymail/stories/e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e.story,"stephen munden , 54 , described as having a ` obsession ' with small girls after he targeted a toddler on a bus . he has been missing since 6.15 pm on tuesday . he was last seen leaving a hospital , near hook , hampshire . police have launched a manhunt to find munden - who has been detained under mental health act . munden was convicted of sexually touching child under the age of 13 . a paedophile with a young girls has gone on the run after vanishing from a psychiatric unit .",3.3333333333333335,4.0,5.0,2.0,5.0,4.0,5.0,3.0,"Stephen Munden, 54, has absconded from hospital, near Hook, Hampshire. He was described as having a fanatical obsession with small girls. Munden was convicted of sexually touching a child under the age of 13. The sex offender may have shaved off his thick beard, police say.,A pedophile is now on the run after escaping a psychiatric unit. Stephen Munden is urgently sought after for several sexual offences.,A convicted child molester is on the lamb after escaping from a psychiatric unit. The man in question, Stephen Munden is believed to have shaved off his beard to avoid being spotted by authorities."
307,M11,cnndm/dailymail/stories/26e4e19d945cedcb489f28808c730658139c9415.story,orlando city are the latest club to have expressed interest in javier hernandez . javier hernandez is linked with a move to orlando city . mexico international would be a huge commercial draw for the florida-based franchise . the mls side are also keen on signing adrian heath . the mexico international will be a popular with orlando supporters .,3.0,3.4,3.0,3.8,1.6666666666666667,4.4,5.0,4.0,"MLS team Orlando City the latest team to be linked with Javier Hernandez. The Manchester United striker has not impressed on loan at Real Madrid. United have made Andreas Pereira an improved contract offer.,Orlando City are interested in Machester Uniteds Javier Hernandez. Orlando has a large Latin-American fan base. Hernandez has been the subject of controversy, but still remains highly touted.,Major League Soccer team, Orlando City, are looking to bring aboard Mexican international player Javier Hernandez.  Hernandez is currently with Manchester United but is not quite a good fit.  While Hernandez would be a large commercial draw for Orlando City, there are many other European teams that are very interested in acquiring Hernandez."
308,M11,cnndm/dailymail/stories/801763443e6c73e3857039f2223798b2b58bef19.story,gregory van der wiel has denied claims that he is set to leave paris saint-germain in the summer . the dutchman recently had a falling out with his boss laurent blanc . the parisians continue to be linked with a move to french champions . dani alves is being linked to move to the french champions league .,2.3333333333333335,4.2,2.3333333333333335,4.8,2.6666666666666665,4.4,4.666666666666667,3.6,"Gregory van der Wiel doesnt want to leave PSG in the summer window. The Dutchman revealed his love for the club and his team-mates. PSG continue to be linked with a move for Barcelona full back Dani Alves.,Van Der Wiel plans to stay with the team and not leave like some people may have suspected. He remains motivated to help his current team win championships.,Paris Saint-Germain player Gregory Van Der Wiel is denying claims that he wants to leave his current team. He has stated that he enjoys where is at and would like to come to agreement on a new contract."
309,M11,cnndm/cnn/stories/404f859482d47c127868964a9a39d1a7645dd2e9.story,"donald sterling , nba team last year . sterling 's wife sued for $ 2.6 million in gifts . sterling says he is the former female companion who has lost the . sterling has ordered v. stiviano to pay back $ 2.6 m in gifts after his wife sued . sterling also includes a $ 391 easter bunny costume , $ 299 and a $ 299 .",1.3333333333333333,3.0,1.6666666666666667,3.0,1.0,3.0,1.0,3.0,"V. Stiviano must pay back $2.6 million in gifts from Donald Sterling. Sterlings wife claimed the ex-Clippers used the couples money for the gifts. The items included a Ferrari, two Bentleys and a Range Rover.,A player for a team has been under scrunity for money being earned while injured. The NBA is not pleased with these outcomes and this player has caused lots of controversy.,Donald Sterling lost his NBA team amid racist comments. His former companion is set to pay back over $2.6 million to Sterlings wife through lawsuit. The case has been considered a victory for the Sterling family."
310,M11,cnndm/dailymail/stories/c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0.story,carlos tevez has been told to terminate his contract with juventus . the former manchester city striker has been linked to boca juniors in argentina . the argentina international joined boca 's youth academy in 1996 . he is on course to win a second serie a title with the old lady . the serie a champions does not expire until the end of next season .,1.6666666666666667,3.0,2.6666666666666665,4.0,4.0,3.0,4.0,4.0,"Carlos Tevez has reportedly told Juventus he wants to return to Argentina. Former Manchester City star wants to play for former club Boca Juniors. Club president Daniel Angelici urges striker to cancel his contract first.,Carlos Teves wants to end his contract with football club Juventus and play for Club Boca Juniors, but his contract doesnt expire till next season. Even though Juventus doesnt want to lose him, they have decided to honor his request  and are now looking for a replacement.,Carlos Tevez has been instructed to return to Club Boca Juniors. Juventus has been shocked by the news. The club has already started their search for replacements."
