,sentence1,sentence2,gold_label,result
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church has cracks in the ceiling.,neutral,neutral
1,This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.,entailment,entailment
2,This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.,contradiction,contradiction
3,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is young.,neutral,neutral
4,"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.,entailment,entailment
5,"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.,contradiction,neutral
6,An old man with a package poses in front of an advertisement.,A man poses in front of an ad.,entailment,entailment
7,An old man with a package poses in front of an advertisement.,A man poses in front of an ad for beer.,neutral,neutral
8,An old man with a package poses in front of an advertisement.,A man walks by an ad.,contradiction,contradiction
9,A statue at a museum that no seems to be looking at.,The statue is offensive and people are mad that it is on display.,neutral,neutral
10,A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.,entailment,entailment
11,A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.,contradiction,contradiction
12,A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.,entailment,neutral
13,A land rover is being driven across a river.,A vehicle is crossing a river.,entailment,entailment
14,A land rover is being driven across a river.,A sedan is stuck in the middle of a river.,contradiction,contradiction
15,A man playing an electric guitar on stage.,A man playing banjo on the floor.,contradiction,contradiction
16,A man playing an electric guitar on stage.,A man playing guitar on stage.,entailment,entailment
17,A man playing an electric guitar on stage.,A man is performing for cash.,neutral,neutral
18,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book,entailment,entailment
19,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j,contradiction,contradiction
20,A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is studying,neutral,neutral
21,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall,contradiction,contradiction
22,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object,entailment,entailment
23,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A man watches his daughter leap,neutral,contradiction
24,A young family enjoys feeling ocean waves lap at their feet.,A young man and woman take their child to the beach for the first time.,neutral,neutral
25,A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,contradiction,contradiction
26,A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.,entailment,entailment
27,A couple walk hand in hand down a street.,A couple is walking together.,entailment,entailment
28,A couple walk hand in hand down a street.,The couple is married.,neutral,neutral
29,A couple walk hand in hand down a street.,A couple is sitting on a bench.,contradiction,contradiction
30,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.,contradiction,contradiction
31,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.,entailment,entailment
32,3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.,entailment,entailment
33,A man reads the paper in a bar with green lighting.,The man is inside.,entailment,entailment
34,A man reads the paper in a bar with green lighting.,The man is reading the sportspage.,neutral,neutral
35,A man reads the paper in a bar with green lighting.,The man is climbing a mountain.,contradiction,contradiction
36,Three firefighter come out of subway station.,Three firefighters putting out a fire inside of a subway station.,neutral,neutral
37,Three firefighter come out of subway station.,Three firefighters coming up from a subway station.,entailment,entailment
38,Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.,contradiction,contradiction
39,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.,entailment,entailment
40,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is selling coconuts.,neutral,neutral
41,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.,contradiction,contradiction
42,Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass,contradiction,contradiction
43,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass,entailment,neutral
44,Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass taking a nap.,neutral,neutral
45,During calf roping a cowboy calls off his horse.,A first time roper falls off his horse.,neutral,contradiction
47,During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.,contradiction,neutral
48,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.,entailment,entailment
49,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is playing on the swings after school.,neutral,neutral
50,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.,contradiction,contradiction
51,A woman wearing a ball cap squats down to touch the cracked earth.,An archeologist wearing a hat squats to examine the site for a dig,neutral,neutral
52,A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.,entailment,entailment
53,A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.,contradiction,contradiction
54,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are building a brick furnace.,neutral,contradiction
55,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.,contradiction,contradiction
56,Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.,entailment,entailment
57,A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men,entailment,entailment
58,A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall,contradiction,contradiction
59,A man standing in front of a building on the phone as two men to the side pain on the side.,a busy man stands with bodyguards,neutral,neutral
60,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.,entailment,entailment
61,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.,contradiction,contradiction
62,"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",The two girls play in the Autumn.,neutral,entailment
63,People jump over a mountain crevasse on a rope.,Some people look visually afraid to jump.,neutral,neutral
64,People jump over a mountain crevasse on a rope.,People are jumping outside.,entailment,entailment
65,People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.,contradiction,contradiction
66,A snowboarder on a wide plain of snow,A snow field with a snowboarder on it,entailment,entailment
67,A snowboarder on a wide plain of snow,A snowboarder gliding over a field of snow,neutral,entailment
68,A snowboarder on a wide plain of snow,A snowmobile in a blizzard,neutral,contradiction
69,An older women tending to a garden.,The lady is cooking dinner,contradiction,contradiction
70,An older women tending to a garden.,The lady is weeding her garden,neutral,neutral
71,An older women tending to a garden.,The lady has a garden,entailment,entailment
72,A man in a black shirt overlooking bike maintenance.,A man destroys a bike.,contradiction,contradiction
73,A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.,entailment,entailment
74,A man in a black shirt overlooking bike maintenance.,A man learns bike maintenance.,neutral,contradiction
75,A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt,contradiction,contradiction
76,A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt,entailment,entailment
77,A man in a black shirt is looking at a bike in a workshop.,A man is deciding which bike to buy,neutral,neutral
78,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.,entailment,entailment
79,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.,entailment,entailment
80,A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,contradiction,contradiction
81,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.,contradiction,contradiction
82,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.,contradiction,contradiction
83,"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,entailment,entailment
84,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,entailment,entailment
85,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,contradiction,contradiction
86,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a pretty blond headed child,neutral,neutral
