,result
0,neutral
1,neutral
2,entailment
3,neutral
4,entailment
5,contradiction
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,entailment
12,entailment
13,contradiction
14,entailment
15,neutral
16,contradiction
17,entailment
18,entailment
19,neutral
20,entailment
21,entailment
22,neutral
23,entailment
24,contradiction
25,entailment
26,neutral
27,entailment
28,contradiction
29,entailment
30,neutral
31,entailment
32,contradiction
33,neutral
34,entailment
35,entailment
36,contradiction
37,entailment
38,entailment
39,neutral
40,entailment
41,contradiction
42,neutral
43,neutral
44,contradiction
45,entailment
46,neutral
47,contradiction
48,neutral
49,entailment
50,neutral
51,contradiction
52,entailment
53,entailment
54,contradiction
55,neutral
56,entailment
57,neutral
58,neutral
59,entailment
60,entailment
61,contradiction
62,entailment
63,entailment
64,neutral
65,contradiction
66,neutral
67,entailment
68,neutral
69,contradiction
70,entailment
71,neutral
72,neutral
73,neutral
74,entailment
75,neutral
76,contradiction
77,entailment
78,contradiction
79,entailment
80,neutral
81,neutral
82,neutral
83,entailment
84,entailment
85,contradiction
86,neutral
87,contradiction
88,entailment
89,neutral
90,contradiction
91,entailment
92,contradiction
93,neutral
94,neutral
95,neutral
96,entailment
97,entailment
98,neutral
99,entailment
100,neutral
101,contradiction
102,neutral
103,entailment
104,entailment
105,neutral
106,entailment
107,contradiction
108,contradiction
109,entailment
110,neutral
111,entailment
112,neutral
113,contradiction
114,neutral
115,neutral
116,entailment
117,entailment
118,neutral
119,neutral
120,contradiction
121,neutral
122,entailment
123,neutral
124,neutral
125,entailment
126,neutral
127,entailment
128,neutral
129,neutral
130,entailment
131,entailment
132,entailment
133,entailment
134,contradiction
135,entailment
136,neutral
137,entailment
138,entailment
139,contradiction
140,entailment
141,entailment
142,entailment
143,contradiction
144,entailment
145,neutral
146,neutral
147,neutral
148,neutral
149,entailment
150,neutral
151,entailment
152,contradiction
153,contradiction
154,entailment
155,entailment
156,neutral
157,neutral
158,entailment
159,entailment
160,contradiction
161,neutral
162,neutral
163,entailment
164,neutral
165,contradiction
166,neutral
167,neutral
168,contradiction
169,entailment
170,neutral
171,contradiction
172,neutral
173,entailment
174,entailment
175,neutral
176,entailment
177,contradiction
178,contradiction
179,neutral
180,neutral
181,contradiction
182,contradiction
183,contradiction
184,entailment
185,entailment
186,contradiction
187,entailment
188,entailment
189,neutral
190,neutral
191,entailment
192,neutral
193,contradiction
194,contradiction
195,entailment
196,neutral
197,neutral
198,contradiction
199,contradiction
200,neutral
201,neutral
202,neutral
203,entailment
204,entailment
205,contradiction
206,entailment
207,contradiction
208,contradiction
209,entailment
210,neutral
211,entailment
212,contradiction
213,contradiction
214,neutral
215,entailment
216,neutral
217,entailment
218,neutral
219,entailment
220,contradiction
221,entailment
222,neutral
223,entailment
224,entailment
225,neutral
226,neutral
227,neutral
228,entailment
229,neutral
230,neutral
231,neutral
232,entailment
233,entailment
234,neutral
235,neutral
236,neutral
237,contradiction
238,neutral
239,neutral
240,neutral
241,entailment
242,entailment
243,entailment
244,contradiction
245,neutral
246,neutral
247,entailment
248,neutral
249,entailment
250,entailment
251,entailment
252,neutral
253,neutral
254,contradiction
255,neutral
256,neutral
257,contradiction
258,entailment
259,entailment
260,contradiction
261,contradiction
262,entailment
263,entailment
264,contradiction
265,entailment
266,entailment
267,neutral
268,entailment
269,entailment
270,neutral
271,entailment
272,contradiction
273,entailment
274,contradiction
275,entailment
276,neutral
277,contradiction
278,entailment
279,contradiction
280,entailment
281,entailment
282,contradiction
283,entailment
284,entailment
285,neutral
286,neutral
287,neutral
288,neutral
289,entailment
290,neutral
291,contradiction
292,neutral
293,entailment
294,entailment
295,neutral
296,contradiction
297,neutral
298,neutral
299,neutral
300,entailment
301,entailment
302,neutral
303,entailment
304,neutral
305,entailment
306,entailment
307,entailment
308,neutral
309,entailment
310,neutral
311,contradiction
312,neutral
313,entailment
314,neutral
315,contradiction
316,contradiction
317,neutral
318,neutral
319,entailment
320,contradiction
321,neutral
322,neutral
323,neutral
324,entailment
325,contradiction
326,neutral
327,contradiction
328,neutral
329,contradiction
330,entailment
331,neutral
332,neutral
333,neutral
334,entailment
335,entailment
336,entailment
337,neutral
338,contradiction
339,entailment
340,neutral
341,neutral
342,contradiction
343,neutral
344,entailment
345,neutral
346,neutral
347,entailment
348,neutral
349,entailment
350,entailment
351,neutral
352,entailment
353,contradiction
354,contradiction
355,neutral
356,entailment
357,neutral
358,entailment
359,neutral
360,entailment
361,entailment
362,contradiction
363,entailment
364,entailment
365,neutral
366,neutral
367,neutral
368,entailment
369,entailment
370,neutral
371,neutral
372,entailment
373,neutral
374,neutral
375,entailment
376,neutral
377,contradiction
378,contradiction
379,entailment
380,entailment
381,entailment
382,entailment
383,neutral
384,neutral
385,neutral
386,entailment
387,neutral
388,contradiction
389,entailment
390,neutral
391,contradiction
392,entailment
393,contradiction
394,entailment
395,neutral
396,contradiction
397,neutral
398,entailment
399,neutral
400,neutral
401,entailment
402,entailment
403,contradiction
404,entailment
405,neutral
406,entailment
407,contradiction
408,contradiction
409,entailment
410,neutral
411,neutral
412,entailment
413,neutral
414,entailment
415,entailment
416,contradiction
417,contradiction
418,entailment
419,neutral
420,neutral
421,entailment
422,contradiction
423,entailment
424,entailment
425,neutral
426,entailment
427,entailment
428,contradiction
429,entailment
430,contradiction
431,neutral
432,contradiction
433,entailment
434,neutral
435,entailment
436,entailment
437,neutral
438,entailment
439,entailment
440,neutral
441,neutral
442,neutral
443,entailment
444,entailment
445,contradiction
446,neutral
447,neutral
448,neutral
449,entailment
450,contradiction
451,entailment
452,entailment
453,neutral
454,neutral
455,entailment
456,entailment
457,contradiction
458,entailment
459,entailment
460,neutral
461,neutral
462,entailment
463,neutral
464,neutral
465,neutral
466,entailment
467,neutral
468,contradiction
469,neutral
470,entailment
471,contradiction
472,entailment
473,neutral
474,entailment
475,neutral
476,entailment
477,neutral
478,entailment
479,contradiction
480,entailment
481,contradiction
482,contradiction
